appid,name,banner,woke,description,review_link
2246340,"Monster Hunter Wilds","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/header_292x136.jpg?t=1759120729",-1,"Contains overtly pro-DEI, subtly pro-climate action, subtly pro-LGBTQ+, and subtly pro-immigration messaging. See the full review for spoilers.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/4426562616039897383/"
2651280,"Marvel's Spider-Man 2","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2651280/header_292x136.jpg?t=1750954033",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, overtly anti-gun, and overtly pro-abortion messaging. See the full review for details.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894977920906737/"
2442460,"Citizen Sleeper 2: Starward Vector","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2442460/header_292x136.jpg?t=1760527284",-1,"Contains overtly anti-Capitalism and overtly pro-LGBTQ+ messaging. Features multiple LGBTQ+ characters including Bliss, who now identifies as non-binary and uses they/them pronouns.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895227829006666/"
2671230,"BLADECHIMERA","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2671230/28af6bb51cc2716526d1d6cfae542d0e66cff753/header_292x136.jpg?t=1750039177",-1,"Contains overtly pro-LGBTQ+ and subtly anti-patriarchy messaging. Morlock is referred to using they/them pronouns. An npc calls the Holy Union's rules 'patriarchal garbage.'","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895917151381712/"
1681060,"Exogate Initiative","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1681060/header_292x136.jpg?t=1738075559",-1,"Contains overtly pro-LGBTQ+ messaging. No distinction between male/female gaters. All gaters are referred to using they/them pronouns.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895662819305712/"
2756920,"Keep Driving","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2756920/header_292x136.jpg?t=1759258618",-1,"Contains overtly pro-LGBTQ+ messaging. Uses A and B instead of male and female during character creation.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895662819302176/"
2545360,"Lonely Mountains: Snow Riders","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2545360/header_292x136.jpg?t=1753105833",-1,"Contains overtly pro-LGBTQ+ messaging. Uses a body type slider instead of a clear male/female distinction during character creation.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/591763033886315574/"
711540,"Lonely Mountains: Downhill","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/711540/header_292x136.jpg?t=1738337554",1,"Contains no Woke content.","undefined"
1590760,"Metal Slug Tactics","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1590760/header_292x136.jpg?t=1744957946",-1,"Contains overtly pro-DEI messaging. Features multiple female front-line combatants.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
2322440,"METAL SLUG ATTACK RELOADED","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2322440/header_292x136.jpg?t=1733217858",-1,"Contains overtly pro-DEI messaging. Features multiple female front-line combatants.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
356310,"METAL SLUG DEFENSE","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/356310/header_292x136.jpg?t=1545199899",-1,"Contains overtly pro-DEI messaging. Features multiple female front-line combatants.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
250180,"METAL SLUG 3","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/250180/header_292x136.jpg?t=1727159336",0,"Contains subtly pro-DEI messaging. Female player character options.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
312610,"METAL SLUG X","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/312610/header_292x136.jpg?t=1727159220",0,"Contains subtly pro-DEI messaging. Female player character options.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
366260,"METAL SLUG 2","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/366260/header_292x136.jpg?t=1727159284",0,"Contains subtly pro-DEI messaging. Female player character options.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
366250,"METAL SLUG","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/366250/header_292x136.jpg?t=1727156570",1,"Contains no Woke content.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/732500619569466355/"
1562430,"DREDGE","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1562430/header_292x136.jpg?t=1759851012",-1,"Contains overtly pro-DEI messaging. Out of place diversity in what appears to be a 20th century setting.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/591763033886361120/"
1924430,"Cookie Cutter: Overkill Edition","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1924430/2bd7b8cb80343787526d323a50b8e516520d1ac8/header_292x136.jpg?t=1760720984",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. The player character is a female robot whose female creator is also her lover. The player character has a sentient vagina.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895227829016302/"
1817800,"Oddsparks: An Automation Adventure","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1817800/9ba1eb6ce6608d6b778004c723d9c764532e06b1/header_292x136.jpg?t=1758806122",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. No distinction between male and female during character creation. There is a rainbow flag top option. Almost all npcs are POC.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601895327555925848/"
1422420,"Dodgeball Academia","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1422420/header_292x136.jpg?t=1659645152",-1,"Contains overtly pro-LGBTQ+, subtly pro-DEI, and subtly anti-family messaging. See the full review for details.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/592890533790114286/"
243470,"Watch_Dogs™","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/243470/header_292x136.jpg?t=1739177057",-1,"Contains overtly pro-DEI and subtly pro-immigration messaging. Features an artificially diverse cast. The hacker BadBoy17 is revealed to be a female Canadian immigrant.","undefined"
374040,"Portal Knights","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/374040/header_292x136.jpg?t=1696604379",-1,"Contains overtly pro-LGBTQ+ messaging. The rainbow flag furniture item was automatically given to anyone with a mailbox as a free gift during September 2018.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/592890533790092264/"
1718570,"ASTLIBRA Revision","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1718570/header_292x136.jpg?t=1757821927",0,"Contains subtly pro-LGBTQ+ messaging. The player character is mistaken for a 'pretty girl.' Multiple major characters engage in cross-dressing. This is presented in a humorous way.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/597394435107459045/"
704450,"Neverwinter Nights: Enhanced Edition","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/704450/header_292x136.jpg?t=1746124805",0,"Contains subtly pro-LGBTQ+ messaging. The Doom of Icewind Dale dlc includes a character named Captain Haldor who mentions she has a wife.","undefined"
1771300,"Kingdom Come: Deliverance II","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1771300/header_292x136.jpg?t=1757432105",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, and overtly anti-western society messaging. See the full review for details.","https://rpghq.org/forums/viewtopic.php?p=207635-woke-content-detector-s-curated-list-of-games#p207635"
3004100,"FREEDOM WARS Remastered","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3004100/header_292x136.jpg?t=1749679300",-1,"Contains overtly pro-LGBTQ+ messaging. Unlike the original, this remaster uses body type in place of biological sex during character creation. Voice options also use Type A/B instead of Male/Female.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894472784040081/"
1491410,"Eternal Strands","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1491410/header_292x136.jpg?t=1751036377",-1,"Contains overtly pro-LGBTQ+ messaging. Laen is non-binary and uses they/them pronouns. Homosexual romance option.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894733441213311/"
2754380,"The Roottrees are Dead","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2754380/db66c1c1529ec8912ded4929282155cf05624a01/header_292x136.jpg?t=1756129707",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, and overtly anti-family messaging. See the full review for spoilers.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894356967805533/"
2219890,"THE MUTE HOUSE","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2219890/header_292x136.jpg?t=1754182109",0,"Contains subtly pro-DEI messaging. The player character is a female police officer in 1999. All zombies appear to be male.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894864482770455/"
2701660,"DRAGON QUEST III HD-2D Remake","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2701660/header_292x136.jpg?t=1758701968",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Unlike the original, this remake uses body type instead of biological sex during character creation. Multiple characters have been censored.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894472784041237/"
1746030,"Murders on the Yangtze River","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1746030/header_292x136.jpg?t=1757902064",-1,"Contains overtly anti-western society, overtly pro-Communism, subtly pro-DEI, and subtly pro-immigration messaging. See the full review for spoilers.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894472784044108/"
1649950,"News Tower","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1649950/header_292x136.jpg?t=1755174055",-1,"Contains overtly pro-DEI messaging. Out of place diversity in a 1930s setting.","https://steamcommunity.com/groups/Woke_Content_Detector/discussions/1/601894356967806199/"
